unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
227,scene,market-outdoor-s,0.038260656861630472,stove,359571,432789.0,25090,0.032700353200307584,yellow-c,34166024,2939423.0,250755,0.0068038826643836824,food,1104991,2480698.0,55338,0.015674928640240022,market-outdoor-s,363776,238953.0,22211,0.038260656861630472,bumpy,2082304,15364.0,4449,0.002125434557970284,pot,422616,366385.0,5629,0.0071856027532257978
1936,scene,windmill-s,0.038251662330153223,person,14523849,2013449.0,271161,0.016670276415352951,white-c,72511065,2824189.0,695611,0.0093195917349175959,fabric,8556493,758065.0,45110,0.0048665249538052324,windmill-s,250880,1243106.0,55042,0.038251662330153223,crosshatched,1743616,58600.0,11096,0.0061950064763946584,crosswalk,241792,1321992.0,25328,0.016463259267733364
589,scene,ski_resort-s,0.038207095157764444,snow,995032,1360939.0,43260,0.018705320292937595,black-c,139916835,2836657.0,726493,0.0051151753195883554,wood,9805760,1492459.0,57231,0.0050912784534597848,ski_resort-s,188160,643909.0,30621,0.038207095157764444,,24924928,0.0,100124,0.0040332241898062924,headboard,500152,765301.0,7829,0.0062252310706538676
651,scene,youth_hostel-s,0.038156975710961681,bed,5899566,1637602.0,180501,0.024535703464626031,green-c,63326720,2894965.0,346891,0.0052659140004293597,fabric,8556493,1048292.0,145059,0.015334376492511516,youth_hostel-s,614656,892505.0,55395,0.038156975710961681,,24924928,0.0,85130,0.0034271615252265738,column,193649,1035345.0,19482,0.016107322622677576
762,object,train,0.038140319097172568,train,1646804,3187830.0,177620,0.038140319097172568,green-c,63326720,3431883.0,379441,0.0057162668007167674,brick,422315,254349.0,1516,0.0022454335938194292,house-s,689920,1548590.0,52552,0.024040718074180747,,24924928,0.0,223239,0.0090373982119198414,coach,689166,1593932.0,78704,0.035703236354299638
1221,object,tree,0.038134688369709915,tree,21215516,2547196.0,872896,0.038134688369709915,green-c,63326720,2849840.0,773225,0.011822409361846762,wicker,89513,259380.0,373,0.0010702398714564443,street-s,28111104,1531941.0,773598,0.026796425993196198,,24924928,0.0,135343,0.0054596718742972103,roof,443437,1535906.0,14352,0.0073038502466423513
709,scene,home_theater-s,0.038103304763534816,house,1833277,2112761.0,122064,0.031920719126228368,green-c,63326720,2820994.0,461307,0.007022868521336538,glass,2246413,675895.0,40805,0.014161012499379663,home_theater-s,313600,1105672.0,52094,0.038103304763534816,,24924928,0.0,134996,0.0054455978338302825,screen,677188,1060937.0,45344,0.026786690068000527
140,object,stove,0.038090184765928355,stove,359571,366271.0,26633,0.038090184765928355,black-c,139916835,2736484.0,804347,0.0056704464520194054,metal,3464654,2220326.0,187669,0.034138326902007181,slum-s,200704,228685.0,13825,0.033268040542491648,stained,1693440,7812.0,3576,0.0021064089967697017,button panel,31244,300385.0,3214,0.0097863983070200812
746,object,ground,0.037999167477412846,ground,7897548,2787631.0,391164,0.037999167477412846,brown-c,182265724,3604588.0,1206216,0.0065319465241364515,carpet,4416400,1044838.0,167468,0.031634921804309594,forest_path-s,313600,1006873.0,30167,0.023379725429471768,,24924928,0.0,205618,0.0083181124392226156,leg,2786636,1678086.0,89317,0.020413424585838339
1513,part,body,0.037982877442850387,airplane,1293178,2141330.0,92222,0.027592492084758755,black-c,139916835,2966667.0,702365,0.0049399309558201101,paper,471706,828566.0,6384,0.0049339664638670426,convenience_store-outdoor-s,150528,806911.0,25010,0.026822417578174853,,24924928,0.0,126970,0.0051201796535021151,body,1291612,1520950.0,102920,0.037982877442850387
