unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
18,object,ceiling,0.026356004274563326,ceiling,12335942,1248397.0,348835,0.026356004274563326,yellow-c,34739742,2873429.0,429205,0.011542743988094224,painted,13701711,1439656.0,166766,0.011136590550893477,bathroom-s,9423522,875493.0,100959,0.0098998279672125739,waffled,1583356,28358.0,2602,0.0016170409517796151,body,1312994,803066.0,7453,0.0035345609684497869
17,texture,potholed,0.025462583055721116,dog,3854036,2134167.0,107366,0.018256924992139725,blue-c,62464739,3457269.0,543879,0.0083189746834143874,fabric,8700788,886491.0,55120,0.0057825304844369464,mountain_snowy-s,1825967,775694.0,39772,0.015524482130178161,potholed,1608894,528008.0,53060,0.025462583055721116,head,5034747,1381359.0,132125,0.021025684196053426
35,texture,dotted,0.024834160560939102,painting,2243633,1128163.0,33409,0.010007527587424705,pink-c,18799488,2298380.0,246969,0.011844525264833905,paper,478211,914665.0,6350,0.0045797915076962138,nursery-s,842754,754954.0,22833,0.014498293515358363,dotted,2987946,264109.0,78805,0.024834160560939102,pane,489020,777043.0,5342,0.0042372578865585648
4,color,blue-c,0.024561932455328235,sky,37221416,1939198.0,527369,0.013650652436780809,blue-c,62464739,2917025.0,1567404,0.024561932455328235,fabric,8700788,809790.0,62701,0.0066365173890388287,mountain_snowy-s,1825967,1019842.0,36189,0.01288038951886732,swirly,1634432,173170.0,17291,0.0096580985091417083,screen,689450,1079015.0,18724,0.010701012321252116
238,texture,spiralled,0.024465380256922204,bicycle,1169902,1258728.0,42358,0.017750700674524951,white-c,73689572,2766076.0,305591,0.0040130107847457025,metal,3525611,1069267.0,45501,0.01000158922859108,wine_cellar-barrel_storage-s,268149,531773.0,5499,0.0069220050275482963,spiralled,1634432,302035.0,46245,0.024465380256922204,wheel,1540612,842758.0,55489,0.023836699556377666
191,texture,zigzagged,0.024023840503299514,bird,1046893,1397456.0,41768,0.017384637604309697,red-c,21346526,2588833.0,118237,0.0049643697504677519,fabric,8700788,982276.0,55781,0.0057940542518590136,aqueduct-s,229842,585509.0,3842,0.0047343898835379523,zigzagged,1647201,196003.0,43242,0.024023840503299514,wheel,1540612,984730.0,46730,0.018853293698247245
51,material,painted,0.023999732609567278,sky,37221416,1531376.0,539321,0.014113373789049416,white-c,73689572,2949405.0,981730,0.012976020658007818,painted,13701711,1218430.0,349687,0.023999732609567278,hotel_room-s,2247344,777203.0,23254,0.0077479939479417701,lined,1596125,33958.0,4865,0.0029934445717436061,screen,689450,1047217.0,9109,0.0052727607408839527
168,part,leg,0.023924600432899866,horse,1249989,1613569.0,65366,0.023360083939915489,black-c,142117568,2497189.0,635197,0.0044117164964249094,carpet,4490516,913510.0,15705,0.0029146370455657706,dining_room-s,5797126,766562.0,80958,0.012488257261986848,meshed,1787660,31064.0,2326,0.0012805563538387512,leg,2832633,1072426.0,91244,0.023924600432899866
15,object,dog,0.023782032555386044,dog,3854036,2107069.0,138474,0.023782032555386044,white-c,73689572,3103041.0,1152615,0.015238168039084295,metal,3525611,918070.0,16310,0.0036839018008655703,park-s,1200286,916556.0,18071,0.0086102771574411881,crystalline,1557818,145798.0,11569,0.0068372805247135567,torso,7789829,1367311.0,146668,0.016277504663462689
118,object,airplane,0.023684838557955234,airplane,1310659,1481770.0,64608,0.023684838557955234,blue-c,62464739,2392679.0,561476,0.0087326817608489194,painted,13701711,822704.0,61553,0.004255934959484506,childs_room-s,983213,633765.0,9557,0.0059455488014652043,dotted,2987946,45857.0,11922,0.0039452248450551159,wing,328483,1032818.0,18444,0.013734895078180327
